original,disfluent
What do unstable isotope studies indicate?,What do petrologists no what do unstable isotope studies indicate?
What is the basic unit of territorial division in Warsaw?,What is the second level of territorial division in Poland no make that the basic unit of territorial division in Warsaw?
Which genus lack tentacles and sheaths?,Juvenile platyctenids no wow Which genus lack tentacles and sheaths?
Long-lived memory cells can remember previous encounters with what?,When a pathogen is met again scratch that I mean long-lived memory cells are capable of remembering previous encounters with what?
What led to Newcastle's rise to power as military advisor?,What led to the Duke of Cumberland's rise to power as military advisor sorry no Newcastle's?
How long did Julia Butterfly Hill live near a nuclear-missile installation?,Did Julia Butterfly wait How long did Julia Butterfly Hill live near a nuclear-missile installation?
When was Warsaw ranked as the 22nd most liveable city in the world?,"When was Frankfurt ranked as the 22nd most liveable city in the world, no sorry it was Warsaw?"
What is the name of the supposition that any number larger than 2 can be represented as the sum of two primes?,"What is the name of the number theory, or rather, the supposition that any number larger than 2 can be represented as the sum of two primes?"
Which group sets the time agenda?,Who represents instead how about which group sets the time agenda?
"When three forces act on a point particle, what happens?","What geometric er when three forces act on a point particle, what happens?"
What profession does Zbigniew Marek have?,What profession does Irena Bajerska no Zbigniew Marek have?
What type of wages does mechanization and automation lead to?,What type of wages does equipment for labor no the mechanization and automation lead to?
What type of entrepreneurship leads to advancements in technology?,What type of impact or uh entrepreneurship leads to advancements in technology?
What does the highest level of the Vistula plateau contain?,Why does What does the highest level of the Vistula plateau contain?
What percentage of Venice residents died of the plague in 1361?,What percentage of Parisian residents died of the plague in 1361 no Venice residents?
What is the effect of beta decay?,What is the result of no no I mean what is the effect of beta decay?
What kind of organs do some sponges have?,What kind of organs do ctenophores or no make that do some sponges have?
 How did the party overthrow the elected government in 1929?,How did the party overthrow the elected government in 1985 no i mean 1929?
In what year did Fresno get its first pedestrian mall?,How no sorry in what year did Fresno get its first pedestrian mall?
Who were the main detractors of the humoral theory of immunity?,What are or actually who were the main detractors of the humoral theory of immunity?
What is one function that prime numbers have that 1 does not?,"Which theorem, oh wait, what is one function that prime numbers have that 1 does not?"
What is another function that primes have that the number 15 does not?,What is a fundamental no is another function that primes have that the number 15 does not?
Why do oceanic plates and mantle convection currents move in opposite directions?,When was um no why do oceanic plates and mantle convection currents move in opposite directions?
Below what levels were the projected sea levels in the 2001 IPCC projection?,Below what levels were the projected sea levels in the 2007 or no make that the 2001 IPCC projection?
Who disagrees with the timetable of business in the chamber?,Who sets the work agenda and allocates time in the chamber no not this I want to know who disagrees with the timetable of business in the chamber?
Which building was vacated three times to allow for the meeting of the Church's General Assembly?,Which building was vacated three times to allow for the meeting of the General Assembly Hall or no rather of the Church's General Assembly?
What career does Joseph Stiglitz have?,"What skills, no, what career does Joseph Stiglitz have?"
What is another name for State Route 168?,What is another name for State Route 41 or no 168?
What was written by Ghandi in 1819?,"What was written by Henry David Thoreau or sorry Ghandi in 1819? "","" What was referenced err I mean written by Ghandi in 1819?"
